,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Value For Money,Wifi & Connectivity,Recommended
903,Boeing 787,Couple Leisure,Premium Economy,Calgary to London,2018-06-01 00:00:00,1.0,1.0,1.0,2.0,2.0,2,1.0,no
904,Boeing 767,Business,Economy Class,London to Zurich,2018-06-01 00:00:00,3.0,2.0,1.0,1.0,4.0,4,1.0,no
905,Boeing 747,Couple Leisure,Economy Class,Glasgow to New York via London,2018-06-01 00:00:00,2.0,4.0,4.0,3.0,3.0,3,0.0,no
906,Boeing 787,Solo Leisure,Economy Class,London Heathrow to Baltimore,2018-06-01 00:00:00,2.0,3.0,3.0,4.0,4.0,4,0.0,yes
907,A380 and 747,Couple Leisure,Business Class,London to Johannesburg,2018-02-01 00:00:00,2.0,3.0,3.0,0.0,3.0,1,0.0,no
908,None,Couple Leisure,Premium Economy,Los Angeles to London,2018-05-01 00:00:00,1.0,2.0,1.0,3.0,1.0,1,3.0,no
909,None,Couple Leisure,Economy Class,Tampa to London,2018-05-01 00:00:00,2.0,1.0,1.0,0.0,3.0,1,0.0,no
910,Boeing 747-400,Couple Leisure,Business Class,Cape Town to London Heathrow,2018-06-01 00:00:00,2.0,3.0,2.0,2.0,3.0,3,0.0,no
911,None,Solo Leisure,Economy Class,Gatwick to San Jose ,2018-06-01 00:00:00,3.0,0.0,0.0,0.0,3.0,2,0.0,no
912,Boeing 777-200 ER,Solo Leisure,Premium Economy,Toronto to London,2018-06-01 00:00:00,3.0,5.0,4.0,3.0,5.0,4,0.0,yes
913,Boeing 747-400,Couple Leisure,Economy Class,London to Chicago,2018-04-01 00:00:00,5.0,5.0,4.0,4.0,4.0,5,0.0,yes
914,None,Business,First Class,Geneva to Vancouver via London,2018-03-01 00:00:00,4.0,1.0,2.0,3.0,5.0,1,0.0,no
915,A320,Couple Leisure,Business Class,London Heathrow to Corfu ,2018-05-01 00:00:00,4.0,5.0,5.0,0.0,4.0,5,0.0,yes
916,A320,Couple Leisure,Economy Class,Barcelona to Gatwick,2018-06-01 00:00:00,3.0,1.0,1.0,0.0,3.0,2,0.0,no
917,None,Business,Business Class,Hong Kong to London,2018-06-01 00:00:00,1.0,1.0,2.0,1.0,3.0,1,0.0,no
918,Boeing 747 / A320,Solo Leisure,Business Class,Washington to Bucharest via London,2018-05-01 00:00:00,5.0,5.0,4.0,0.0,5.0,5,0.0,yes
919,A320,Solo Leisure,Economy Class,London to Warsaw,2018-05-01 00:00:00,2.0,2.0,0.0,0.0,3.0,3,0.0,no
920,A320,Solo Leisure,Economy Class,London to Istanbul,2018-05-01 00:00:00,3.0,5.0,1.0,0.0,2.0,1,0.0,no
